Company Name,Website,Country
AGGREKO PLC,aggreko.com,United Kingdom
ANGLO AMERICAN PLC,http://www.angloamerican.co.uk,United Kingdom
AUTO TRADER LIMITED,http://www.autotrader.co.uk,United Kingdom
BABCOCK INTERNATIONAL GROUP PLC,babcockinternational.com,United Kingdom
BAE SYSTEMS PLC,http://www.baesystems.com,United Kingdom
BT GROUP PLC,bt.com,United Kingdom
CADENT GAS LIMITED,,United Kingdom
CENTRICA PLC,centrica.com,United Kingdom
COMPASS GROUP PLC,http://www.compass-group.com,United Kingdom
CRANSWICK PLC,http://www.cranswick.plc.uk,United Kingdom
CRODA EUROPE LIMITED,http://www.croda.com,United Kingdom
DIXONS CARPHONE PLC,dixonscarphone.com,United Kingdom
DR MARTENS AIRWAIR & CO. LIMITED,,United Kingdom
EXPERIAN LIMITED,experian.co.uk,United Kingdom
GLENCORE ENERGY UK LTD.,http://www.glencore.co.uk,United Kingdom
HAMMERSON PLC,http://www.hammerson.com,United Kingdom
HAYS TRAVEL LIMITED,http://www.hays-travel.co.uk,United Kingdom
IMI EUROPE HOLDINGS LIMITED,http://www.imieurope.com,United Kingdom
INFORMA PLC,informa.com,United Kingdom
INTERTEK GROUP PLC,http://www.intertek.com,United Kingdom
ITV PLC,itvplc.com,United Kingdom
JD SPORTS FASHION PLC,jdsports.co.uk,United Kingdom
JUST EAT PLC,http://www.just-eat.co.uk,United Kingdom
KANTAR UK LIMITED,http://www.kantar.com,United Kingdom
KINGFISHER PLC,kingfisher.com,United Kingdom
MEGGITT PLC,http://www.meggitt.com,United Kingdom
OCADO GROUP PLC,http://www.ocado.com,United Kingdom
RENTOKIL INITIAL PLC,http://www.rentokil.co.uk,United Kingdom
ROYAL MAIL PLC,royalmail.com,United Kingdom
SEVERN TRENT WATER LIMITED,https://www.stwater.co.uk,United Kingdom
SMURFIT KAPPA UK LTD,http://www.smurfitkappa.co.uk,United Kingdom
SPECTRIS PLC,http://www.spectris.com,United Kingdom
SPIRAX-SARCO ENGINEERING PLC,http://www.spiraxsarco.com,United Kingdom
STAGECOACH GROUP PLC,http://www.stagecoach.com,United Kingdom
TAYLOR WIMPEY UK LIMITED,http://www.taylorwimpey.com,United Kingdom
TESCO PLC,tesco.com,United Kingdom
THAMES WATER UTILITIES LIMITED,https://www.thameswater.co.uk,United Kingdom
THE BERKELEY GROUP HOLDINGS PLC,berkeleygroup.co.uk,United Kingdom
TRAVIS PERKINS PLC,travisperkins.co.uk,United Kingdom
UNITED UTILITIES GROUP PLC,unitedutilities.com,United Kingdom
WHITBREAD PLC,http://www.whitbread.com,United Kingdom
