Account Name,Domain/URL ,Country
AB DYNAMICS PLC,https://www.abdplc.com/,United Kingdom
ABRDN PLC,https://www.abrdn.com/en-gb,United Kingdom
Adobe Inc.,https://www.adobe.com/uk/,United Kingdom
Advent International Corporation,https://www.adventinternational.com/,United Kingdom
AIB JV Designated Activity Company,https://aib.ie/,United Kingdom
Allianz SE,https://www.allianz.com/en.html,United Kingdom
"American Axle & Manufacturing Holdings, Inc.",https://www.aam.com/,United Kingdom
"Ameriprise Financial, Inc.",https://www.ameriprise.com/,United Kingdom
ANGLO AMERICAN PLC,https://www.angloamerican.com/,United Kingdom
APEXX FINTECH LIMITED,https://apexx.global/,United Kingdom
Apollo Global Management Inc.,https://www.apollo.com/,United Kingdom
ARCO LTD,https://www.arco.co.uk/,United Kingdom
Ardagh Group SA,https://www.ardaghgroup.com/,United Kingdom
ASCENTIAL PLC,https://www.ascential.com/,United Kingdom
Astrazeneca PLC,https://www.astrazeneca.co.uk/,United Kingdom
Babylon Holdings Limited,https://ir.babylonhealth.com/,United Kingdom
BAE Systems PLC,https://www.baesystems.com/en/home,United Kingdom
"Bain Capital, LP",https://www.baincapital.com/,United Kingdom
Balfour Beatty Group plc,https://www.balfourbeatty.com/,United Kingdom
BANK OF ENGLAND,https://www.bankofengland.co.uk/,United Kingdom
BANK OF IRELAND,https://www.bankofireland.com/,United Kingdom
Barclays PLC,https://home.barclays/,United Kingdom
Bayer AG,https://www.bayer.com/en/,United Kingdom
Bite Investments (Cayman) Limited,https://www.biteinvestments.com/,United Kingdom
"Blackline, Inc.",https://www.blackline.com/,United Kingdom
Bon Secours Health System CLG,https://www.bonsecours.ie/,United Kingdom
BP P.L.C.,https://www.bp.com/,United Kingdom
British American Tobacco P.L.C.,https://www.bat.com/,United Kingdom
BRITISH BROADCASTING CORPORATION,https://www.bbc.com/,United Kingdom
BT Group PLC,https://www.bt.com/about,United Kingdom
Bundesrepublik Deutschland,https://www.bundesregierung.de/breg-de,United Kingdom
BUTTERFIELD BANK (JERSEY) LIMITED,https://www.butterfieldgroup.com/en-je,United Kingdom
CALEDONIA INVESTMENTS PLC,https://www.caledonia.com/,United Kingdom
Capital Values Group Limited,https://www.capitalvaluesgroup.com/,United Kingdom
Capricorn Energy PLC,https://www.capricornenergy.com/,United Kingdom
Carlyle Group - Fund,https://www.carlyle.com/,United Kingdom
"CBRE Group, Inc.",https://www.cbre.com/,United Kingdom
Certares LP,https://certares.com/,United Kingdom
"CF Industries Holdings, Inc.",https://www.cfindustries.com/,United Kingdom
CHANNEL FOUR TELEVISION CORPORATION,https://www.channel4.com/corporate,United Kingdom
"Charles River Laboratories International, Inc.",https://www.criver.com/,United Kingdom
CK Hutchison Holdings Limited,https://www.ckh.com.hk/en/global/home.php,United Kingdom
"Clayton, Dubilier & Rice, Inc.",https://www.cdr-inc.com/,United Kingdom
Coloplast A/S,https://www.coloplast.com/contact/,United Kingdom
Comcast Corporation,https://corporate.comcast.com/,United Kingdom
COMMUNITY HEALTH CARE SERVICE (NORTH DERBYSHIRE) N H S TRUST,https://dchs.nhs.uk/,United Kingdom
Competition & Markets Authority,https://www.gov.uk/government/organisations/competition-and-markets-authority,United Kingdom
COMPUTERSHARE LIMITED,http://www.computershare.com/uk,United Kingdom
CONNECT PLUS (M25) HOLDINGS LIMITED,https://www.connectplusm25.co.uk/,United Kingdom
CONVATEC GROUP PLC,https://www.convatecgroup.com/,United Kingdom
Crown Prosecution Service,https://www.cps.gov.uk/,United Kingdom
CVC Capital Partners SICAV-FIS SA,https://www.cvc.com/,United Kingdom
"Department for Business, Energy & Industrial Strategy",https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,United Kingdom
"DEPARTMENT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs,United Kingdom
"Department for Levelling Up, Housing and Communities",https://www.gov.uk/government/organisations/department-for-levelling-up-housing-and-communities,United Kingdom
Department for Transport,https://www.gov.uk/government/organisations/department-for-transport,United Kingdom
Department of Health,https://www.gov.uk/government/organisations/department-of-health-and-social-care,United Kingdom
Department of Transportation,https://www.transportation.gov/,United Kingdom
DEPARTMENT OF WORK AND PENSIONS,https://www.gov.uk/government/organisations/department-for-work-pensions,United Kingdom
DIAGEO PLC,https://www.diageo.com/,United Kingdom
DICE FM LTD,https://dice.fm/?lng=en,United Kingdom
DONCASTERS GROUP LTD,https://www.doncasters.com/,United Kingdom
DRAX GROUP PLC,https://www.drax.com/,United Kingdom
Driver & Vehicle Licensing Agency,https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency,United Kingdom
Driver and Vehicle Standards Agency,https://www.gov.uk/government/organisations/driver-and-vehicle-standards-agency,United Kingdom
DUNELM GROUP PLC,https://corporate.dunelm.com/,United Kingdom
Durham Cathedral,https://www.durhamcathedral.co.uk/,United Kingdom
Egmont Fonden,https://www.egmontfonden.dk/,United Kingdom
Electricite De France,https://www.edf.fr/,United Kingdom
Electricity Supply Board,https://www.esb.ie/,United Kingdom
Electronic Arts Inc.,https://www.ea.com/en-gb,United Kingdom
Elim-Dentsu International Ltd,https://www.dentsu.com/uk/en,United Kingdom
