Company,Country,public website
A.S. Watson (Europe) Retail Holdings B.V.,Netherlands,
ACC ICT Holding B.V.,Netherlands,http://www.acc-ict.com
Acknowledge IT Group B.V.,Netherlands,http://www.acknowledge.nl
Actiris,Belgium,actirisbruxelles.be
Ada Holding B.V.,Netherlands,www.aedius.com
Adyen N.V.,Netherlands,http://www.adyen.com
AG Insurance,Belgium,aginsurance.be
Akamai Technologies Netherlands B.V.,Netherlands,www.akamai.com
Alliander N.V.,Netherlands,http://www.knfm.nl
Allshare Finance B.V.,Netherlands,www.allshare.nl
Alpro,Belgium,alpro.com
Amgen Europe B.V.,Netherlands,www.amgen.com
ANWB B.V.,Netherlands,http://www.anwb.nl
Aon Groep Nederland B.V.,Netherlands,https://www.aon.com
Aon Holdings B.V.,Netherlands,https://www.aon.com
APG Groep N.V.,Netherlands,http://www.apg.nl
Aquafin,Belgium,http://www.aquafin.be
ARCADIS L&S B.V.,Netherlands,www.arcadis.nl
ArcelorMittal Belgium,Belgium,http://www.arcelormittal.com
argenx,Belgium,http://www.argen-x.com
ASML Holding N.V.,Netherlands,www.asml.com
Atlas Copco Airpower,Belgium,atlascopco.com
Atradius N.V.,Netherlands,http://www.atradius.nl
Audax A & I B.V.,Netherlands,www.audax.nl
Avedon Capital Partners B.V.,Netherlands,http://www.avedoncapital.com
Avit Holding B.V.,Netherlands,
Backbase Europe B.V.,Netherlands,http://www.backbase.com
Ballast Nedam N.V.,Netherlands,http://www.ballast-nedam.nl
Balta-Group,Belgium,baltagroup.com
Band of KLM Royal Dutch Airlines,Netherlands,www.klmorkest.nl
Barco,Belgium,barco.com
BASF Coatings Services,Belgium,http://www.rmpaint.com
BDO Holding B.V.,Netherlands,http://www.bdo.nl
BearingPoint Holding B.V.,Netherlands,http://www.bearingpoint.com
Belfius Bank,Belgium,http://www.belfius-lease.be
Bleckmann BelgiÃ«,Belgium,http://www.belspeed.eu
BMC Software Distribution B.V.,Netherlands,http://www.bmc.com
BNP Paribas Fortis,Belgium,http://www.bnpparibasfortis.be
Booking.com B.V.,Netherlands,http://suite.booking.com
Boon Edam B.V.,Netherlands,http://www.boonedam.nl
Boston Scientific Group plc,Netherlands,http://www.bostonscientific.nl
Bpost,Belgium,http://www.bpost.be
Breedband B.V.,Netherlands,
Breedband Helmond B.V.,Netherlands,www.breedbandhelmond.nl
Brussels Airport Company,Belgium,brusselsairport.be
Business & Decision Benelux,Belgium,businessdecision.be
Caesar Groep Rotterdam B.V.,Netherlands,http://www.caesargroep.nl
Canon Nederland N.V.,Netherlands,http://www.canon.nl
Canon Production Printing Holding B.V.,Netherlands,www.oce.com
Capgemini N.V.,Netherlands,http://www.capgemini.com
Cebeo,Belgium,http://www.cebeo-elektrotechnischmateriaal.be
Cegeka,Belgium,cegeka.com
Centric Holding B.V.,Netherlands,
Cheops Technology,Belgium,http://www.cheops.be
Cimsolutions Holding B.V.,Netherlands,http://www.cimsolutions.nl
Citymesh,Belgium,citymesh.com
Claranet Benelux Holdings B.V.,Netherlands,http://www.iae.nl
Clarebout Potatoes,Belgium,http://www.clarebout.com
Coas Software Systems B.V.,Netherlands,http://www.coas.com
Colruyt Group Services,Belgium,colruytgroup.com
Conclusion B.V.,Netherlands,http://www.altair.nl
Connectis,Belgium,http://www.connectis.be
Converge Netherlands B.V.,Netherlands,http://www.converge.com
Coöperatieve Rabobank U.A.,Netherlands,http://www.rabobank.nl
Copaco Nederland B.V.,Netherlands,http://www.copaco.nl
Credit Europe Bank N.V.,Netherlands,http://www.crediteurope.nl
Cybernet,Belgium,http://www.cybernet.be
D'Ieteren,Belgium,http://www.volkswagen-commercial-vehicles.be
Damen Shipyards Group N.V.,Netherlands,http://www.damen.com
Datafiber Group B.V.,Netherlands,
De Nederlandsche Bank N.V.,Netherlands,http://www.dnb.nl
Dean One B.V.,Netherlands,www.deanone.nl
Decathlon Belgium,Belgium,http://www.decathlon.be
Deceuninck,Belgium,http://www.deceuninck.be
DELTA Fiber Nederland B.V.,Netherlands,www.delta.nl
Destiny,Belgium,http://www.destiny.be
Detailresult Groep N.V.,Netherlands,https://www.detailresult.nl
Detron ICT Holding B.V.,Netherlands,www.detron.nl
Diabolo ICT B.V.,Netherlands,http://www.diabolo.nl
Donaldson Europe,Belgium,http://www.donaldson.com
Econocom Managed Services,Belgium,
Edpnet,Belgium,edpnet.be
Elia Group,Belgium,http://www.elia.be
Emark B.V.,Netherlands,http://www.e-mark.nl
Engie,Belgium,
Engie Energy Services International,Belgium,http://www.electrabel.be
Eriks B.V.,Netherlands,http://www.eriks.nl
Eurofiber Holding B.V.,Netherlands,http://www.eurofibergroup.com
Eurofiber Nederland B.V.,Netherlands,http://www.telecomutrecht.nl
Exclusive Networks B.V.,Netherlands,http://www.techaccess.nl
FD Mediagroep B.V.,Netherlands,http://fdmediagroup.com
FEBELCO,Belgium,http://www.febelco.be
Flow Traders B.V.,Netherlands,http://www.flowtraders.nl
Fluor B.V.,Netherlands,
Fluxys Belgium,Belgium,https://www.fluxys.com
Foot Locker Europe B.V.,Netherlands,www.footlocker.eu
ForFarmers N.V.,Netherlands,www.forfarmers.eu
FUJIFILM Europe B.V.,Netherlands,www.fujifilm.eu
Galapagos,Belgium,http://www.glpg.com
Gaming1,Belgium,http://www.produweb-gaming.com
GÉANT Vereniging,Netherlands,http://www.geant.org
Get.Noticed B.V.,Netherlands,https://www.getnoticed.nl
Getronics Belgium,Belgium,getronics.com
GIMV,Belgium,http://www.gimv.be
Go2 Solutions B.V.,Netherlands,http://www.go2myoffice.com
GVB Holding N.V.,Netherlands,http://www.gvb.nl
Heijmans International B.V.,Netherlands,www.heijmans.nl
Heineken Group B.V.,Netherlands,www.heinekengroup.nl
Hendrix Genetics B.V.,Netherlands,http://www.hendrix-genetics.com
HERE International B.V.,Netherlands,
Hitec Power Protection International B.V.,Netherlands,www.hitecups.com
Holland Colours N.V.,Netherlands,www.hollandcolours.com
HSO Group B.V.,Netherlands,http://www.hso.com
Hunter Douglas Industries B.V.,Netherlands,www.hde.nl
IBM International Group B.V.,Netherlands,http://www.ibm.com
IBM Investments Limited,Netherlands,http://www.ibm.com
IC Netherlands B.V.,Netherlands,
IMC B.V.,Netherlands,http://www.imc.com
IMCD N.V.,Netherlands,http://www.imcdgroup.com
Immoweb,Belgium,http://www.vincotte.be
Impres B.V.,Netherlands,http://www.impres.nl
Incentro International B.V.,Netherlands,www.incentro.com
INET B.V.,Netherlands,www.inetbv.nl
Info Support International Group B.V.,Netherlands,http://www.infosupport.com
Infrabel,Belgium,infrabel.be
Inter IKEA Holding B.V.,Netherlands,http://www.ikea.com
InterConnect Services B.V.,Netherlands,http://www.interconnect.nl
Intertrust Group B.V.,Netherlands,http://www.intertrustgroup.com
IT Support Groep B.V.,Netherlands,www.itsupportgroep.nl
Itineris,Belgium,http://www.itineris.net
ITON B.V.,Netherlands,http://www.iton.nl
Its Hosted,Netherlands,www.itshosted.nl
Joris Ide,Belgium,http://www.joriside.be
Kabeltex Holding B.V.,Netherlands,http://www.kabeltex.nl
Katoen Natie Bulk Terminals,Belgium,http://www.katoennatie.com
KommaGo B.V.,Netherlands,http://www.kommago.nl
Koninklijke FrieslandCampina N.V.,Netherlands,http://www.kievit.com
Koninklijke KPN N.V.,Netherlands,www.kpn.com
KPN B.V.,Netherlands,www.kpn.com
KPN Mobile N.V.,Netherlands,
KPN Planet Technologies BV,Netherlands,
Landal GreenParks Holding B.V.,Netherlands,www.landal.eu
LeasePlan Corporation N.V.,Netherlands,http://www.leaseplan.com
LeaseWeb International B.V.,Netherlands,www.leaseweb.com
Liantis It,Belgium,http://www.zenito.be
Liberty Global B.V.,Netherlands,http://www.lgi.com
Lotus Bakeries België,Belgium,http://www.lotusbakeries.com
Loyens & Loeff N.V.,Netherlands,http://www.loyensloeff.com
Luminus,Belgium,
LyondellBasell Industries Holdings B.V.,Netherlands,www.lyondellbasell.com
Macaw Technologies B.V.,Netherlands,http://www.macaw.nl
Magnus Group B.V.,Netherlands,http://www.magnus.nl
Mansystems Nederland B.V.,Netherlands,http://www.mansystems.com
Materialise,Belgium,materialise.com
Mediahuis,Belgium,mediahuis.be
Mediahuis Nederland B.V.,Netherlands,www.tmg.nl
Mediq Holding B.V.,Netherlands,http://www.mediqcombicare.nl
Melexis,Belgium,https://www.melexis.com
Mendix Technology B.V.,Netherlands,www.mendix.com
ML Consultancy,Netherlands,mlc.nl
My.com B.V.,Netherlands,http://www.my.com
myBrand B.V.,Netherlands,http://www.mybrand.nl
N.V. Nederlandse Gasunie,Netherlands,www.nvnederlandsegasunie.nl
N.V. Nederlandse Spoorwegen,Netherlands,www.ns.nl
Nedap N.V.,Netherlands,http://www.nedap.com
Nederlandse Omroep Stichting,Netherlands,http://www.nos.nl
Neste Holding B.V.,Netherlands,www.neste.com
NIBC Bank N.V.,Netherlands,nibc.com
Nokia Bell,Belgium,http://www.alcatel.be
NOVOMATIC Netherlands B.V.,Netherlands,
NTS Group B.V.,Netherlands,http://www.nts-group.nl
NXP Semiconductors N.V.,Netherlands,nxp.com
Office Depot Europe B.V.,Netherlands,http://www.vikingdirect.nl
Onespan,Belgium,http://www.vasco.com
Ontex,Belgium,ontexglobal.com
Optiver B.V.,Netherlands,http://www.optiver.com
Oracle Global Services Limited,Netherlands,http://www.oracle.com
ORTEC Finance Beheer B.V.,Netherlands,www.ortec.com
Pairi Daiza,Belgium,http://www.pairidaiza.eu
PCextreme B.V.,Netherlands,http://www.pcextreme.nl
Peak IT B.V.,Netherlands,http://www.peak-it.nl
Personeelsvereniging Royal HaskoningDHV,Netherlands,
PGGM N.V.,Netherlands,http://www.pggm.nl
PinkRoccade Healthcare B.V.,Netherlands,http://www.pinkroccade-healthcare.nl
PLINQ B.V.,Netherlands,http://www.sallandxs.nl
PostNL N.V.,Netherlands,http://shop.postnl.nl
PPG Industries Netherlands B.V.,Netherlands,
