Company Name,Website/Doman,Country
ACCELL BIS SAN VE TIC AS,,
ACCIONA GENERACION RENOVABLE SA,,
ACESUR,,
ADRIAANSE IMPORT & EXPORT BV,,
AEP ANADOLU ETAP PENKON PAZARLAMA LIMITED SIRKETI,,
AGREEN EGYPT CO FOR AGRI INVERSTMENT,,
AHOLD DELHAIZE ,,
AKKIM YAPI KIM SAN TIC AS,,
AKZO NOBEL,,
AMSTRAD,,
ANAFRUIT GIDA SAN VE TIC LTD STI,,
ANDRITZ,,
ANGELO ANTRESINI & C SAS,,
ARDO NV,,
Arkema (Atofina),,
ARLANXEO,,
ASML,,
ASSOCIATED BRITISH FOOD PLC,,
AUGUST STORCK KG,,
Bacardi (Tradall),,
BBraun,,
BeGreen A/S,,
Benteler,,Germany
Boehringer Ingelheim,,
Brose Fahrzeugteile GmbH & Co. KG,,
BUGABOO INTERNATIONAL,,Belgium
BUT INTERNATIONAL,,
C & A,,
CALZEDONIA GROUP,,Italy
CANPACK,,
CARLSBERG BREWERIES A/S,,
CCC SA,,
CEDROB PORTY SP. Z O.O.,,
CITRONEX I SP Z O O,,
CLARIANT,,
COMI,,France
CONAGRA INTL (LambWeston),,
ConvaTec,,
COTY,,France
DALTEX FOR AGRICULTURAL DEVELOPMENT,,
DANFOSS DISTRIBUTION SERVICES A/S,,
Den Hartogh,,
DESIGUAL,,Spain
DFS FURNITURE PLC,,
DIAGEO PLC,,
DOHLER GIDA SAN. A.S,,
DR OETKER,,
DSM HQ-CORP,,
DUNNES STORES LTD,,
EGAST,,
Einhell Germany AG,,
El Araby Group,,
Elanco,,
ELECTRA CONSUMER PRODUCTS (1951) LTD,,
ELKEM CARBON,,
EMERAUDE,,
ENGIN TARIM MEYVECILIK GIDA SAN TIC A S,,
Epiroc Rock Drills,,
Ericsson AB,,
ERIKCI GIDA LIMITED SIRKETI,,
ESSITY,,
ETC FRUIT GIDA SAN VE TIC LTD STI,,
EUROPEAN ENERGY A/S,,
Europris,,
EVONIK,,
EXPORTADORA CHIQUITA LTDA,,
FAMOSA/ GP GROUP,,
FARM FRITES INTL BV,,
FISKARS,,
FOX WIZEL LTD,,
GEOX SPA,,
Ghabbour Group,,
GIORGIO ARMANI,,
GLANBIA,,
GREENLAND SEAFOOD WILHELMSHAVEN GMBH,,
GREENYARD,,
GRUNDFOS INTL A/S,,
GULBUDAK GIDA SOGUTMA TEKS,,
HAIFA CHEMICALS LTD,,
HARALD NYBORG A/S,,
HAYAT KIMYA SANAYI A S,,
HECHT MOTORS SRO,,
HERMES ,,
Hermes Germany GmbH,,
HOGANAS SWEDEN AB,,
HSE24 Multichannel GmbH,,
Hunkemoeller,,
HUSQVARNA AB,,Sweden
Imtron / MediaMarkt,,
INDORAMA,,Spain
INTL CO FOR AGRICULTURE DEVELOPMENT ,,
ISTANBUL GIDA DIS TICARET A S,,
IVECO GROUP,,
J MARR,,
JERONIMO MARTINS,,
JOMA ESPANA,,
Kaemingk,,
Kappahl AB,,
KEMIRA,,
Kering,,
KESKO OY,,
KONE,,
KOOPMAN INTERNATIONAL B V,,
LANXESS,,
Luigi Lavazza Spa,,
LEGO,,
Lidl,,
LKQ EUROPE GMBH,,
LOGITECH,,
LONGCHAMP ,,
LOREAL,,
LUXOTTICA GROUP,,
LVMH,,France
MADE.COM,,
MAGRABI AGRICULTURE,,
Maisons Du Monde,,
MAMMUT SPORTS GROUP AG,,
MANGO,,Spain
MAST - Jagermeister,,
MATALAN,,United Kingdom
MAYORAL,,Spain
MF BRANDS GROUP,,
MHP PRJSC,,
Möet Hennessy,,
Mondi Ltd,,
MSD (Merck KGGA),,
Muntajat,,
NEXT PLC,,United Kingdom
NEXTRACKER (FLEX),,
NOKIA SOLUTIONS AND NETWORK,,
Nouryon,,
NOVARTIS SERVICES,,
NOVO-NORDISK A/S,,
ON SHOES,,
OTB GROUP,,
ORKLA,,Norway
PARFOIS - BARATA E RAMILO SA,,
PARLEVLIET & VAN DER PLAS BV,,
PASTIFICIO RANA,,
PAULANER,,
"PENTLAND 
",,
PERNOD RICARD,,
PERSTORP SPECIALTY CHEMICALS AB,,
PFIZER SERVICE COMPANY BV,,
PIAGGIO & C SPA,,
Prada SPA,,
PRENATAL RETAIL GROUP,,
PROMETEON ,,
PSA/STELLANTIS,,
PURE ELECTRIC,,United Kingdom
QSP QUALITY SERVICE,,
REPSOL GROUP,,
RICHEMONT (Includes CHLOE and others),,
Robert Bosch,,
ROQUETTE,,
ROSDERRA IRISH MEATS GROUP,,
ROYAL GREENLAND,,
Salling Group,,Denmark
SANOFI AVENTIS,,
SEB SA,,
Siemens,,
SMCP,,
SMITHFIELD FRESH MEATS CORP,,
SNETOR,,
SOESTRENE GRENES IMPORT A/S,,
SOLVAY,,
SONAC EXPORT & IMPORT,,
SPORT VISION DOO,,
SPORTISIMO S.R.O.,,
STEINHOFF INTERNATIONAL HOLDINGS LTD,,
STIGA SPA,,
STUDIO MODERNA,,
SUPERDRY PLC,,
SWATCH GROUP,,
Takeda,,
TATA CONSUMER PRODUCTS,,
TCHIBO HOLDING AG,,
TEDI GMBH & CO KG,,
TENDAM,,Spain
Tenneco,,
THE RANGE,,United Kingdom
TJ MORRIS LTD,,
TOKMANNI OY,,
TOTAL ENERGIES,,
REWE,,Germany
Vestel Elektronik A.?.,,
VIDA XL (NL BU),,
Vion,,
Wuerth ,,
Xerox ,,
ZALANDO,,
Zebra A/S,,
ZF FRIEDRICHSHAFEN AG,,
"ECHEBASTAR FLEET\, SL",,
NUEVA PESCANOVA SL,,
IBERICA DE CONGELADOS SAU,,
ALBACORA,,
Noel Alimentaria,,
Litera Meat,,Spain
Pelagia,,
Jumbo,,
Wortmann AG,,
Draexlmaier Group,,
A Brown & Co,https://a-brown-co-buttons.business.site,
ASDA GROUP LIMITED,http://storelocator.asda.com,
BABOLAT VS,www.babolat.com,
